id;titulo;fecha_estreno;decripcion;en_cines
1;Madera;2021-10-10T13:26:59;copy Murcia Baleares;true
2;Parafarmacia;2021-10-10T01:55:40;KwachaXXXXXXXXXXXXXX;true
3;Bebes;2021-10-10T09:09:18;GranitoXXXXXXXXXXXXX;true
4;Hormigon;2021-10-10T04:27:41;parsing cross-platform;true
5;orchestrate flexibilidad;2021-10-10T10:18:11;deposit SalchichasXX;false
6;generación firmware;2021-10-10T08:55:23;Peso CaminoXXXXXXXXX;true
7;Facilitador;2021-10-09T18:10:31;Marca BerkshireXXXXX;false
8;deposit Moda Inverso;2021-10-10T11:09:46;GBXXXXXXXXXXXXXXXXXX;false
9;viral Algodón;2021-10-09T23:24:04;QuesoXXXXXXXXXXXXXXX;false
10;Teclado Mascotas Calidad;2021-10-09T17:48:21;Berkshire Cambridgeshire;false
